1.00000E-11,5720.46
1.10304E-11,5446.72
1.21669E-11,5186.07
1.34206E-11,4937.9
1.48034E-11,4701.6
1.63287E-11,4476.6
1.80111E-11,4262.38
1.98669E-11,4058.4
2.19139E-11,3864.18
2.41719E-11,3679.26
2.66625E-11,3503.18
2.94097E-11,3335.52
3.24400E-11,3175.89
3.57825E-11,3023.9
3.94694E-11,2879.17
4.35362E-11,2741.37
4.80221E-11,2610.17
5.29701E-11,2485.24
5.84280E-11,2366.28
6.44483E-11,2253.02
7.10888E-11,2145.17
7.84136E-11,2042.49
8.64931E-11,1944.71
9.54051E-11,1851.61
1.05235E-10,1762.97
1.16078E-10,1678.56
1.28039E-10,1598.19
1.41231E-10,1521.66
1.55784E-10,1448.79
1.71835E-10,1379.41
1.89540E-10,1313.34
2.09070E-10,1250.43
2.30612E-10,1190.53
2.54374E-10,1133.49
2.80584E-10,1079.18
3.09494E-10,1027.46
3.41383E-10,978.208
3.76558E-10,931.311
4.15358E-10,886.652
4.58155E-10,844.125
5.05362E-10,803.627
5.57433E-10,765.06
6.14869E-10,728.332
6.78223E-10,693.354
7.48105E-10,660.041
8.25188E-10,628.314
9.10213E-10,598.096
1.00400E-09,569.314
1.10745E-09,541.897
1.22155E-09,515.781
1.34742E-09,490.901
1.48625E-09,467.197
1.63939E-09,444.611
1.80831E-09,423.089
1.99463E-09,402.578
2.20016E-09,383.028
2.42685E-09,364.39
2.67691E-09,346.621
2.95273E-09,329.677
3.25697E-09,313.516
3.59256E-09,298.099
3.96272E-09,283.385
4.37103E-09,269.336
4.82141E-09,255.91
5.31819E-09,243.07
5.86616E-09,230.784
6.47059E-09,219.024
7.13730E-09,207.766
7.87271E-09,196.985
8.68389E-09,186.659
9.57865E-09,176.766
1.05656E-08,167.291
1.16543E-08,158.214
1.28551E-08,149.517
1.40810E-08,141.769
1.54230E-08,134.338
1.68939E-08,127.215
1.85040E-08,120.408
2.02686E-08,113.908
2.22005E-08,107.723
2.41472E-08,102.287
2.52419E-08,99.5256
2.53000E-08,99.3843
2.75186E-08,94.3506
2.99317E-08,89.5652
3.25565E-08,85.0235
3.54114E-08,80.724
3.85167E-08,76.6626
4.18943E-08,72.8193
4.55681E-08,69.1773
4.95640E-08,65.7354
5.39104E-08,62.4878
5.86379E-08,59.4269
6.37799E-08,56.5459
6.93729E-08,53.8398
7.54563E-08,51.3055
8.20732E-08,48.9426
8.92703E-08,46.7535
9.70986E-08,44.7442
1.04879E-07,43.0691
1.13277E-07,41.5684
1.22353E-07,40.2591
1.31231E-07,39.2588
1.40753E-07,38.4684
1.49908E-07,37.9685
1.59667E-07,37.7075
1.64057E-07,37.6809
1.73359E-07,37.811
1.83351E-07,38.2361
1.92561E-07,38.8926
2.02243E-07,39.8538
2.12402E-07,41.1441
2.24644E-07,43.0126
2.46067E-07,46.5187
2.54832E-07,47.6837
2.62073E-07,48.349
2.69035E-07,48.6419
2.70784E-07,48.6538
2.75534E-07,48.5507
2.81392E-07,48.1412
2.87361E-07,47.4021
2.93471E-07,46.3279
2.99696E-07,44.9424
3.06068E-07,43.2785
3.14765E-07,40.7314
3.37604E-07,33.6589
3.47198E-07,30.902
3.54562E-07,28.9505
3.62101E-07,27.1154
3.69782E-07,25.4155
3.77644E-07,23.8461
3.85654E-07,22.4122
3.93854E-07,21.1014
4.02208E-07,19.9116
4.10760E-07,18.8281
4.19473E-07,17.8464
4.28392E-07,16.9525
4.37479E-07,16.1415
4.46780E-07,15.4012
4.56257E-07,14.7276
4.65958E-07,14.1106
4.79198E-07,13.3687
4.92815E-07,12.7065
5.06819E-07,12.1134
5.21220E-07,11.5802
5.36031E-07,11.0994
5.55124E-07,10.5633
5.74925E-07,10.0889
5.95403E-07,9.67008
6.16641E-07,9.30001
6.38606E-07,8.97531
6.61385E-07,8.69296
6.84943E-07,8.45283
7.09375E-07,8.25439
7.34642E-07,8.10079
7.60847E-07,7.99761
7.82466E-07,7.95733
7.92591E-07,7.95325
8.15113E-07,7.98134
8.32444E-07,8.04173
8.50102E-07,8.14314
8.68176E-07,8.29552
8.86592E-07,8.51107
8.99100E-07,8.69882
9.11785E-07,8.92961
9.24648E-07,9.2123
9.37693E-07,9.55815
9.47615E-07,9.86815
9.57631E-07,10.2292
9.67740E-07,10.6503
9.77944E-07,11.1428
9.88291E-07,11.7233
9.98736E-07,12.4065
1.00573E-06,12.9274
1.01283E-06,13.5146
1.01992E-06,14.1682
1.02712E-06,14.9065
1.03431E-06,15.7295
1.04161E-06,16.6596
1.04890E-06,17.695
1.05630E-06,18.8615
1.06370E-06,20.1523
1.07120E-06,21.592
1.07871E-06,23.1614
1.08632E-06,24.8744
1.10053E-06,28.3081
1.11495E-06,31.804
1.12276E-06,33.515
1.13033E-06,34.9218
1.13606E-06,35.7637
1.14128E-06,36.3264
1.14683E-06,36.6858
1.15238E-06,36.7825
1.15825E-06,36.5926
1.16411E-06,36.1098
1.17008E-06,35.3397
1.17626E-06,34.2838
1.18244E-06,33.013
1.18868E-06,31.5676
1.20121E-06,28.3929
1.21392E-06,25.1335
1.22246E-06,23.0684
1.22890E-06,21.6138
1.23535E-06,20.2641
1.24188E-06,19.0093
1.24842E-06,17.8713
1.25277E-06,17.1768
1.25940E-06,16.2152
1.26603E-06,15.3612
1.27292E-06,14.5752
1.27981E-06,13.8759
1.28808E-06,13.1217
1.30118E-06,12.0298
1.31978E-06,10.5396
1.33288E-06,9.54973
1.33977E-06,9.07325
1.34666E-06,8.63639
1.35355E-06,8.24118
1.36044E-06,7.88634
